PLANE_ID,SATELLITES,RAAN,INCLINATION,ARG_OF_PERIGEE,PERIOD,APOGEE,PERIGEE,ARC_BEGIN,ARC_END,SUB_CONSTELLATION,RAAN
1,50,0,53,0,6480,1150,1150,0,360,LEO,0
2,50,11.3,53,0,6480,1150,1150,0,360,LEO,11.3
3,50,22.5,53,0,6480,1150,1150,0,360,LEO,22.5
4,50,33.8,53,0,6480,1150,1150,0,360,LEO,33.8
5,50,45,53,0,6480,1150,1150,0,360,LEO,45
6,50,56.3,53,0,6480,1150,1150,0,360,LEO,56.3
7,50,67.5,53,0,6480,1150,1150,0,360,LEO,67.5
8,50,78.8,53,0,6480,1150,1150,0,360,LEO,78.8
9,50,90,53,0,6480,1150,1150,0,360,LEO,90
10,50,101.3,53,0,6480,1150,1150,0,360,LEO,101.3
11,50,112.5,53,0,6480,1150,1150,0,360,LEO,112.5
12,50,123.8,53,0,6480,1150,1150,0,360,LEO,123.8
13,50,135,53,0,6480,1150,1150,0,360,LEO,135
14,50,146.3,53,0,6480,1150,1150,0,360,LEO,146.3
15,50,157.5,53,0,6480,1150,1150,0,360,LEO,157.5
16,50,168.8,53,0,6480,1150,1150,0,360,LEO,168.8
17,50,180,53,0,6480,1150,1150,0,360,LEO,180
18,50,191.3,53,0,6480,1150,1150,0,360,LEO,191.3
19,50,202.5,53,0,6480,1150,1150,0,360,LEO,202.5
20,50,213.8,53,0,6480,1150,1150,0,360,LEO,213.8
21,50,225,53,0,6480,1150,1150,0,360,LEO,225
22,50,236.3,53,0,6480,1150,1150,0,360,LEO,236.3
23,50,247.5,53,0,6480,1150,1150,0,360,LEO,247.5
24,50,258.8,53,0,6480,1150,1150,0,360,LEO,258.8
25,50,270,53,0,6480,1150,1150,0,360,LEO,270
26,50,281.3,53,0,6480,1150,1150,0,360,LEO,281.3
27,50,292.5,53,0,6480,1150,1150,0,360,LEO,292.5
28,50,303.8,53,0,6480,1150,1150,0,360,LEO,303.8
29,50,315,53,0,6480,1150,1150,0,360,LEO,315
